Sr No,Date (dd/mm/yyyy),Startup Name,Industry Vertical,City  Location,Investors Name,Investment Type,  Amount in USD  ,Remarks
1599,13/06/2016,KhanaGadi,Consumer Internet,Jaipur,50K Ventures,Seed Funding,0.00,
1600,13/06/2016,Bombay Shirt Company,eCommerce,Mumbai,0 investor,Private Equity,1000000.00,nan
1602,14/06/2016,EdTechReview,Consumer Internet,New Delhi,EVC Ventures,Seed Funding,0.00,
1603,14/06/2016,Bonhomia,Food & Beverage,New Delhi,Valpro Capital and existing investors,Private Equity,0.00,
1604,14/06/2016,Gobolt,Logistics,New Delhi,MCube8,Seed Funding,0.00,
1605,14/06/2016,Jivox,Technology,Bengaluru,You & Mr Jones Fortisure Ventures Diaz Nesamoney,Private Equity,6000000.00,nan
1606,14/06/2016,Sminq,Consumer Internet,Pune,Saama Capital Blume Ventures & Vaibhav Domkundwar,Seed Funding,1000000.00,nan
1607,14/06/2016,CureJoy,Consumer Internet,Bengaluru,Accel Partners India,Private Equity,4400000.00,nan
1608,15/06/2016,Oneway.cab,Consumer Internet,Vadodara,Indian Angel Network,Seed Funding,450000.00,nan
1609,15/06/2016,GrabOnRent,eCommerce,Bengaluru,IvyCap Ventures and Unicorn India Ventures,Private Equity,0.00,
1610,16/06/2016,Diro Labs,Consumer Internet,New Delhi,Info Edge (India) Ltd,Private Equity,450000.00,nan
1611,16/06/2016,Unnati Helpers,Consumer Internet,Gurgaon,Info Edge (India) Ltd,Private Equity,600000.00,nan
1612,16/06/2016,Athletto,Consumer Internet,Bengaluru,Atul Ingle,Seed Funding,0.00,
1614,16/06/2016,Voonik,eCommerce,Bengaluru,Sequoia Capital,Private Equity,20000000.00,nan
1615,16/06/2016,ThinkPhi,Technology,Mumbai,Nimmagadda Prasad,Seed Funding,0.00,
1616,17/06/2016,Cleartax,Consumer Internet,New Delhi,Ravi Adusumalli SAIF Partners,Private Equity,12000000.00,nan
1617,17/06/2016,Silvan Innovation Labs,Technology,Bengaluru,Infuse Ventures,Private Equity,900000.00,nan
1618,17/06/2016,GreytHR,Technology,Bengaluru,New Enterprise Associates (NEA) Blume Ventures,Private Equity,5200000.00,nan
1619,17/06/2016,Duffl,eCommerce,Bengaluru,BetOnIndia Technology Pvt Ltd,Seed Funding,0.00,
1620,17/06/2016,BYG,Consumer Internet,Bengaluru,Sanjay Verma Amit Khanna (LetsVenture),Seed Funding,0.00,
1621,20/06/2016,Dipper,eCommerce,New Delhi,0 investor,Seed Funding,0.00,
1622,20/06/2016,Qonfuse,Consumer Internet,New Delhi,Hamraj Kumar,Seed Funding,0.00,
1623,20/06/2016,The Indian IRIS,Consumer Internet,Ahmadabad,Timbru Ventures,Seed Funding,0.00,
1624,21/06/2016,Onspoon,Consumer Internet,Mumbai,Swan Angel Network,Seed Funding,150000.00,nan
1625,21/06/2016,REstate,Consumer Internet,Bengaluru,Idein Ventures,Seed Funding,0.00,
1626,21/06/2016,Cleartrip,Consumer Internet,Mumbai,Concur Technologies Gund Investment,Private Equity,0.00,
1627,21/06/2016,ProcMart,Consumer Internet,Noida,IndiaMart,Private Equity,0.00,
1628,21/06/2016,Celerix,Technology,Bengaluru,Bitkemy Ventures,Seed Funding,400000.00,nan
1629,21/06/2016,NatureNama,Consumer Internet,Mumbai,Unicorn Venture,Seed Funding,225000.00,nan
1630,21/06/2016,CyclopsMedtech,Technology,Bengaluru,CP Bothra,Seed Funding,0.00,
1631,21/06/2016,Syona Cosmetics,FMCG,Chennai,The Chennai Angels,Seed Funding,150000.00,nan
1632,21/06/2016,PrettySecrets,eCommerce,Mumbai,RB Investments PTE Ltd Orios Venture Partners,Private Equity,6000000.00,nan
1633,22/06/2016,SpiderG,Consumer Internet,Pune,Rahul Kirloskar Fusion Tech Ventures Adi Saravanan Pravin Dongre Mahendra Doshi,Seed Funding,150000.00,nan
1634,23/06/2016,FarEye,Technology,New Delhi,Saif Partners,Private Equity,3500000.00,nan
1635,23/06/2016,The Uolo,Consumer Internet,Bengaluru,Purvi Ventures Rajul Garg Vipin Arora,Seed Funding,210000.00,nan
1636,23/06/2016,Staqu,Technology,Gurgaon,Indian Angel Network,Seed Funding,0.00,
1637,23/06/2016,Padhopadhao,Consumer Internet,New Delhi,Rise India,Private Equity,0.00,
1638,24/06/2016,Drivify,Consumer Internet,Mumbai,Jitendra Gupta Pankaj Tripathi,Seed Funding,50000.00,nan
1639,24/06/2016,PratiLipi,Consumer Internet,Bengaluru,Nexus Venture Partners,Seed Funding,0.00,
1640,24/06/2016,ParaBlu,Technology,Bengaluru,Kalaari Capital,Seed Funding,500000.00,nan
1641,24/06/2016,Schedulers Logistics,Logistics,Mumbai,GVFL,Private Equity,6000000.00,nan
1642,24/06/2016,LEAP India,Others,Mumbai,Mayfield Ventures,Private Equity,3000000.00,nan
1643,24/06/2016,KabadiExpress,Others,New Delhi,0 investor,Seed Funding,148000.00,nan
1644,27/06/2016,YourDost,Consumer Internet,Bengaluru,SAIF Partners Aprameya Radhakrishnan Phanindra Sama Subba Rao Telidevara Vibhu Garg Paula Ravindra Mariwala Gaurav Bhalotia,Seed Funding,1200000.00,nan
1645,27/06/2016,Gomalon,Consumer Internet,Bengaluru,0 investor,Seed Funding,100000.00,nan
1646,27/06/2016,Voler Cars,Consumer Internet,New Delhi,Kanodia family Amit Banka,Seed Funding,0.00,
1647,27/06/2016,Travelyaari,Consumer Internet,Bengaluru,GVFL Ltd,Private Equity,3000000.00,nan
1648,28/06/2016,FabHotels,Consumer Internet,Gurgaon,Accel Partners RB Investments,Private Equity,8000000.00,nan
1649,28/06/2016,Locanix,Technology,Ahmadabad,0 investors,Seed Funding,300000.00,nan
1650,28/06/2016,LendingKart,Consumer Internet,Ahmadabad,Bertelsmann India Investments Mayfield India Saama Capital India Quotient,Private Equity,32000000.00,nan
1651,28/06/2016,Hello Tax,Consumer Internet,New Delhi,Sanjeev Sinha,Seed Funding,295000.00,nan
1652,28/06/2016,MySuperBrain,Consumer Internet,Hyderabad,Soniks Consulting,Seed Funding,0.00,
1653,28/06/2016,BlogBeats,Consumer Internet,Bengaluru,0 Investor,Seed Funding,0.00,
1654,29/06/2016,LetReach,eCommerce,New Delhi,vCommission,Private Equity,100000.00,nan
1655,29/06/2016,TrendieApp,Technology,Kolkata,Harsh Vardhan Hada,Seed Funding,50000.00,nan
1656,29/06/2016,ImpactGuru,Consumer Internet,Mumbai,Piyush Jain,Seed Funding,0.00,
1657,29/06/2016,Velvetcase,eCommerce,Mumbai,Uniqorn Ventures Fund TV Mohandas Pai S Somasegar,Private Equity,1500000.00,nan
1658,30/06/2016,Meru Cabs,Consumer Internet,Mumbai,Brand Capital,Private Equity,25000000.00,nan
1659,30/06/2016,Campus Diaries,Consumer Internet,Bengaluru,Aarin Capital,Seed Funding,220000.00,nan
1660,30/06/2016,Scripbox,Consumer Internet,Bengaluru,Omidyar Network Accel Partners & existing investors,Private Equity,0.00,
1661,30/06/2016,Biryani Blues,Food & Beverage,Gurgaon,Carpediem Capital & Others,Private Equity,368000.00,nan
1662,1/5/2016,MotoMojo,Consumer Internet,Mumbai,Niloufer Dundh Fauzan Rahim Balamurugan Mani,Seed Funding,0.00,
1663,1/5/2016,Get My Parking,Technology,New Delhi,The Chennai Angels,Seed Funding,376000.00,nan
1664,1/5/2016,Prescribez,Consumer Internet,Pune,Ankush Mehta,Seed Funding,145000.00,nan
1665,2/5/2016,Airwood,Technology,Chennai,StartupXseed Ventures,Seed Funding,0.00,
1666,3/5/2016,Mobikwik,Consumer Internet,Gurgaon,GMO Payment Gateway MediaTek,Private Equity,50000000.00,nan
1667,3/5/2016,iDreamCareer,Consumer Internet,New Delhi,Brand Capital,Private Equity,0.00,
1668,3/5/2016,Zwayam,Consumer Internet,Bengaluru,0 investors,Seed Funding,250000.00,nan
1669,3/5/2016,BoiBanit,Consumer Internet,Vadodara,0 investors,Seed Funding,0.00,
1670,3/5/2016,Zuver,Consumer Internet,Mumbai,Shruth & Smith Group Hermes Group,Seed Funding,180000.00,nan
1671,3/5/2016,Prepathon,Education,Mumbai,Blume Ventures,Private Equity,0.00,
1672,4/5/2016,EasyRoads,Consumer Internet,Mumbai,Rohan Angrish Hrishi Oberoi Rahul Mehta Kapil Hetamsaria Pranav Dedhia,Seed Funding,200000.00,nan
1673,4/5/2016,Lenskart,eCommerce,New Delhi,International Finance Corp TPG Growth Adveq Management IDG Ventures Ratan Tata Kris Gopalakrishnan,Private Equity,60000000.00,nan
1674,4/5/2016,Seclore,Technology,Mumbai,Sistema Asia Fund Helion Venture VentureEast India Alternatives,Private Equity,12000000.00,nan
1675,4/5/2016,SolarTown,Technology,Chennai,Grex.in,Seed Funding,200000.00,nan
1676,4/5/2016,Comarete,Technology,Pune,Grex.in,Seed Funding,200000.00,nan
1677,4/5/2016,MyDentistChoice,eCommerce,Hyderabad,0 investors,Seed Funding,150000.00,nan
1679,4/5/2016,Affordplan,Technology,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.00,nan
1680,4/5/2016,Indee,Consumer Internet,Bengaluru,Kalaari Capital Accelerator Program,Seed Funding,500000.00,nan
1681,5/5/2016,Unbxd,Technology,New Delhi,IDG Ventures Inventus Capital Indian Angel Network,Private Equity,0.00,
1682,5/5/2016,WebAlligator,Consumer Internet,Bengaluru,Group of 0 Angel Investors & HNIs,Seed Funding,375000.00,nan
1683,6/5/2016,EduAce Services,Education,Lucknow,MoMagic Technologies,Private Equity,1000000.00,nan
1684,6/5/2016,Meesho,eCommerce,Bengaluru,Rajul Garg & Others,Seed Funding,0.00,
1685,7/5/2016,Zebroads,Logistics,Hyderabad,0 investors,Seed Funding,75000.00,nan
1686,9/5/2016,Locus,Technology,Bengaluru,Exfinity Venture Partners Blume Ventures BeeNext Rajesh Ranavat,Private Equity,2750000.00,nan
1687,9/5/2016,Toko Innovations,Consumer Internet,Bengaluru,Roopak Saluja Vishal Khare,Seed Funding,450000.00,nan
1688,9/5/2016,Rentickle,eCommerce,New Delhi,Manish Kheterpal Vinay Mittal Dinesh Mittal Sandeep Gupta,Seed Funding,250000.00,nan
1689,10/5/2016,HealthifyMe,Consumer Internet,Bengaluru,IDG Ventures India Inventus Capital Blume Ventures,Private Equity,6000000.00,nan
1690,10/5/2016,Zarget,Consumer Internet,Chennai,Accel Partners Matrix Partners Girish Mathrubootham,Private Equity,1500000.00,nan
1691,10/5/2016,InnoNano Research,Technology,Chennai,NanoHoldings,Private Equity,18000000.00,nan
1692,10/5/2016,SchoolWear,eCommerce,Mumbai,0 investors,Seed Funding,1500000.00,nan
1693,10/5/2016,Swiggy,Consumer Internet,Bengaluru,Norwest Venture Partners DST Global Accel Partners,Private Equity,7000000.00,nan
1694,11/5/2016,Zenify,Consumer Internet,Bengaluru,0 Investors,Private Equity,900000.00,nan
1695,11/5/2016,Faircent,Consumer Internet,Gurgaon,JM Ficial Products Ltd Arun Tadanki Doreswamy dkishore Kshitij Jain,Private Equity,0.00,
1696,11/5/2016,Fractal Analytics,Technology,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.00,nan
1697,12/5/2016,Unacademy,Consumer Internet,Bengaluru,Blume Ventures Rajan Anandan Sumit Jain Aprameya Radhakrishna Sujeet Kumar Phanindra Sama,Seed Funding,500000.00,nan
1698,12/5/2016,Capital Float,Consumer Internet,Bengaluru,Creation Investments Capital Management SAIF Partners Sequoia Capital Aspada Ventures,Private Equity,25000000.00,nan
1699,12/5/2016,Life Circle,Healthcare,Hyderabad,GROUPE SOS,Private Equity,150000.00,nan
1700,12/5/2016,Dream Wallets,Consumer Internet,Jaipur,Rakesh Gupta Aditya Aggarwal Siddharth Banerjee Vikas Ranjan Anshul Jindal Sunil Koul and Sanjeev Agrawal,Seed Funding,0.00,
1701,12/5/2016,ShabdNagari,Consumer Internet,Kanpur,ah! Ventures,Seed Funding,0.00,
1702,12/5/2016,Galleri5,Consumer Internet,Bengaluru,Phanindra Sama Raghudan G,Seed Funding,0.00,
1703,12/5/2016,Derbii,Logistics,Gurgaon,Anurag Chauhan,Seed Funding,0.00,
1704,13/05/2016,StayZilla,Consumer Internet,Chennai,Matrix Partners Nexus Ventures,Private Equity,13500000.00,nan
1705,13/05/2016,WoW Express,Logistics,Mumbai,0 Investors & Tamarind Family Private Trust,Private Equity,2200000.00,nan
1706,16/05/2016,Smartivity,eCommerce,New Delhi,S Chand AdvantEdge Partners,Private Equity,1000000.00,nan
1707,16/05/2016,BedBathMore,Consumer Internet,Mumbai,Kinnevik Group Rocket Internet,Private Equity,0.00,
1708,17/05/2016,Murgency,Consumer Internet,Mumbai,Rata Tata,Private Equity,0.00,
1709,17/05/2016,Crownit,Consumer Internet,Gurgaon,0 investors Accel Partners Helion Venture Partners,Private Equity,0.00,
1710,17/05/2016,Blinge,eCommerce,Mumbai,Anupam Mittal Anuj Srivastava Ankit Nagori,Seed Funding,0.00,
1711,18/05/2016,TheSmartQ,Consumer Internet,Bengaluru,YourNest Angel Fund,Seed Funding,250000.00,nan
1712,18/05/2016,PurpleHealth,Consumer Internet,Trivandrum,Katabole Technology Venture,Seed Funding,100000.00,nan
1713,18/05/2016,Fundamentor,Education,Pune,Subramanya SV,Seed Funding,0.00,
1714,18/05/2016,EduPristine,Education,Mumbai,Kaizen Management Advisors DeVry Inc,Private Equity,10000000.00,nan
1715,18/05/2016,BhiveWorkspace,Reality,Bengaluru,Blume Ventures,Private Equity,1000000.00,nan
1716,18/05/2016,Parentlane,Consumer Internet,Bengaluru,Sujeet Kumar Aprameya Sumit Jain Subramanya Venkat Venk Ravi Machani Hitesh Gupta Rohit Choudhary,Seed Funding,0.00,
1717,19/05/2016,Appie,Consumer Internet,Mumbai,0 investors,Seed Funding,1000000.00,nan
1718,19/05/2016,Niki.ai,Technology,Bengaluru,Ratan Tata,Private Equity,0.00,
1719,19/05/2016,TaxiVaxi,Consumer Internet,New Delhi,0 HNIs,Seed Funding,500000.00,nan
1720,19/05/2016,Veqta,Consumer Internet,New Delhi,Chatsworth Management ITW Digital,Seed Funding,500000.00,nan
1721,20/05/2016,i2ifunding,Consumer Internet,Noida,0 Investors,Seed Funding,300000.00,nan
1722,23/05/2016,EduRev,Consumer Internet,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,0.00,
1723,23/05/2016,Hoppingo,Consumer Internet,New Delhi,vCommission,Seed Funding,89000.00,nan
1724,24/05/2016,Eatonomist,Consumer Internet,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,0.00,
1725,24/05/2016,Goalwise,Consumer Internet,Bengaluru,0 HNIs,Seed Funding,1000000.00,nan
1726,25/05/2016,Roast,Consumer Internet,New Delhi,Indian Angel Network,Seed Funding,0.00,
1727,25/05/2016,Address Health,Healthcare,Bengaluru,Gray Matters Capital,Private Equity,1500000.00,nan
1728,25/05/2016,Arcatron Mobility,Technology,Pune,Sudhir Mehta,Seed Funding,100000.00,nan
1729,25/05/2016,SheThePeople,Consumer Internet,New Delhi,Ad Mahindra,Seed Funding,0.00,
1730,26/05/2016,Cleartax,Consumer Internet,Bengaluru,FF Angel Sequoia Capital,Private Equity,2000000.00,nan
1731,26/05/2016,Consure Medical,Healthcare,New Delhi,Accel Partners Indian Angel Network India Innovation Fund India Venture Partners,Private Equity,0.00,
1732,26/05/2016,mChamp,Consumer Internet,New Delhi,MoMagic Technologies,Seed Funding,475000.00,nan
1733,27/05/2016,Pianta,Consumer Internet,Bengaluru,Kunal Shah Sandeep Tandon,Seed Funding,0.00,
1734,30/05/2016,Vahanalytics,Technology,Mumbai,Anirudh Damani Vikram Lakhotia,Seed Funding,200000.00,nan
1735,31/05/2016,Play Your Sport,Consumer Internet,New Delhi,Ashish Gupta and other 0 investors,Seed Funding,0.00,
1736,31/05/2016,Koovs,eCommerce,New Delhi,HT Media Ltd,Private Equity,4400000.00,nan
1737,31/05/2016,CCavenue,Consumer Internet,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000.00,nan
1738,31/05/2016,1mg,eCommerce,Gurgaon,HBM Healthcare Investments,Private Equity,0.00,
1739,31/05/2016,Tpot,Food & Beverage,Gurgaon,Ashish Gupta,Seed Funding,0.00,
1740,31/05/2016,MachaDalo,Consumer Internet,Mumbai,0 Investors,Seed Funding,175000.00,nan
1741,1/4/2016,Dil Mil,Consumer Internet,Bengaluru,Nelstone Ventures Transmedia Capital Maiden Lane Ventures CSC Upshot & Angel investors,Private Equity,2700000.00,nan
1742,1/4/2016,PicsDream,Consumer Internet,New Delhi,Raman Roy,Seed Funding,0.00,
1743,1/4/2016,Process 9,Consumer Internet,Gurgaon,Indian Angel Network Alok Sharma Kris Gopalakrish Saurabh Srivastava and Ajai Chowdhry,Seed Funding,0.00,
1744,4/4/2016,Housing,Consumer Internet,Mumbai,Vineet Singh,Private Equity,0.00,
1745,4/4/2016,Roll Mafia,Food & Beverage,Pune,Equentia Natural Resource & Other 0 investors,Seed Funding,0.00,
1746,4/4/2016,Hungama,Consumer Internet,Mumbai,Xiaomi Inc,Private Equity,25000000.00,nan
1747,4/4/2016,Highway Delite,Consumer Internet,Bengaluru,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,0.00,
1748,5/4/2016,Cult Fitness,Healthcare,Bengaluru,Mukesh Bansal,Seed Funding,0.00,
1749,5/4/2016,Haptik,Technology,Mumbai,Times Internet Ltd,Private Equity,0.00,
1750,5/4/2016,Servify,Consumer Internet,Mumbai,Blume Ventures Barkawi Holdings GmbH TM Service Technology Holdings GmbH,Private Equity,0.00,
1751,6/4/2016,Shipsy,Logistics,Gurgaon,DTDC Express Ltd,Private Equity,1000000.00,nan
1752,6/4/2016,gear6,Consumer Internet,Bengaluru,Ninestarter,Seed Funding,500000.00,nan
1753,6/4/2016,MyGlamm,Consumer Internet,Mumbai,LOccitane,Private Equity,6000000.00,nan
1754,6/4/2016,Petoo,Consumer Internet,Bengaluru,Axilor Ventures,Private Equity,1000000.00,nan
1756,8/4/2016,Little Black Book,Consumer Internet,New Delhi,IDG Indian Angel Network,Seed Funding,0.00,
1757,8/4/2016,Vahan,Education,Chennai,Villgro,Seed Funding,0.00,
1758,8/4/2016,imedilane,Consumer Internet,New Delhi,Mahendra Patel Nilender Chauhan,Seed Funding,40000.00,nan
1759,11/4/2016,Living Local,Consumer Internet,Mumbai,Rattan Chadha,Seed Funding,200000.00,nan
1760,11/4/2016,Vegfru,eCommerce,New Delhi,Wingify,Seed Funding,0.00,
1761,11/4/2016,Oyo,Consumer Internet,New Delhi,Softbank Sequoia Capital Lightspeed Venture Partners Greenoaks Capital DSG Consumer Partners and Venture Nursery,Private Equity,100000000.00,nan
1762,11/4/2016,PriceRaja,Consumer Internet,Gurgaon,Prashant Puri,Seed Funding,300000.00,nan
1763,12/4/2016,MagicX,Consumer Internet,Bengaluru,Kris Gopalakrishnan Dr. Ranjan Pai,Seed Funding,1000000.00,nan
1764,12/4/2016,Happydemic,Consumer Internet,Mumbai,Shaan,Seed Funding,0.00,
1765,12/4/2016,LenDenClub,Fice,Mumbai,Anirudh Damani Daud Ali Narendra Karnavat Vikas Kapoor Vikram Lakhotia Krishna Jhunjhunwaala Jayesh Shah,Seed Funding,0.00,
1767,13/04/2016,Legalraasta,Consumer Internet,New Delhi,Pravin Khandelwal Yatin Kumar Jain,Seed Funding,1000000.00,nan
1768,13/04/2016,RainCan,Consumer Internet,Pune,Dr. Aniruddha Malpani,Seed Funding,150000.00,nan
1769,13/04/2016,Hippily,eCommerce,Mumbai,Dr. Sridhar Ramaswamy Rakesh Mathur,Seed Funding,250000.00,nan
1770,13/04/2016,kredX,eCommerce,Bengaluru,Prime Venture Partners,Seed Funding,750000.00,nan
1771,14/04/2016,Wedwise,Consumer Internet,New Delhi,StartUp Equity Partners,Seed Funding,0.00,
1772,14/04/2016,BeaconsTalk,Technology,Mumbai,Rajeev Agrawal Prashant Gooty,Seed Funding,100000.00,nan
1773,15/04/2016,Deal 4Loans,Consumer Internet,Noida,Ram Shriram Neeraj Arora Puru Vashishtha,Seed Funding,0.00,
1774,15/04/2016,RenewBuy,Consumer Internet,New Delhi,Mount Nathan Advisors,Seed Funding,1000000.00,nan
1775,15/04/2016,Blue Box Media,Consumer Internet,Jaipur,Mahavir Pratap Sharma Ajay Data Yogesh Chaudhary Sanjay Phophaliya Siddharth Agarwal Kamal Kothari,Seed Funding,0.00,
1776,15/04/2016,Vyomo,Consumer Internet,New Delhi,Naturals Salon Chain,Private Equity,15000000.00,nan
1777,15/04/2016,Organicshop,eCommerce,Jaipur,Vivek Nathani Yogesh Chaudhary Mahavir Pratap Sharma Kamal Kothari H C Jain,Seed Funding,0.00,
1778,15/04/2016,MInd Your Fleet,Consumer Internet,Noida,0 Investors,Seed Funding,0.00,
1779,15/04/2016,NestAway,Consumer Internet,Bengaluru,Tiger Global,Private Equity,30000000.00,nan
1780,15/04/2016,Tapchief,Consumer Internet,Bengaluru,Vijay Shekhar Sharma,Seed Funding,150000.00,nan
1781,18/04/2016,Rapido,Consumer Internet,Bengaluru,Pawan Munjal AdvantEdge Partners Astarc Ventures,Private Equity,0.00,
1782,18/04/2016,Yufta,eCommerce,Bengaluru,Ajay Data & other HNIs,Seed Funding,0.00,
1783,18/04/2016,Smytten,eCommerce,Gurgaon,Rajan Adan,Seed Funding,0.00,
1784,18/04/2016,Houssup,Consumer Internet,Jaipur,Mitin Patel Gaurav Agarwal,Seed Funding,0.00,
1785,18/04/2016,Jugnoo,Consumer Internet,Chandigarh,Paytm & existing investors,Private Equity,10000000.00,nan
1786,18/04/2016,Tork Motocycles,Auto,Pune,Bhavish Aggarwal Ankit Bhati,Seed Funding,0.00,
1787,19/04/2016,Betaout,eCommerce,Noida,Stanford Angels LetsVenture Chennai Angels Hyderabad Angels Mumbai Angels,Private Equity,1500000.00,nan
1788,19/04/2016,DriversCart,Consumer Internet,Chennai,ah! Ventures,Seed Funding,450000.00,nan
1789,19/04/2016,LensKart,eCommerce,New Delhi,Ratan Tata,Private Equity,0.00,
1790,19/04/2016,CollegeDekho,Consumer Internet,New Delhi,Man Capital,Private Equity,2000000.00,nan
1791,19/04/2016,OYOfit,Consumer Internet,Bengaluru,RN Agarwal,Seed Funding,0.00,
1792,19/04/2016,Oliveboard,Consumer Internet,Bengaluru,India Educational Investment Fund,Private Equity,0.00,
1793,19/04/2016,Simplilearn,Consumer Internet,Bengaluru,Brand Capital,Private Equity,0.00,
1794,20/04/2016,1mg,eCommerce,Gurgaon,Maverick Capital Ventures Sequoia Capital Omidyar Network,Private Equity,15000000.00,nan
1795,20/04/2016,Fashalot,Consumer Internet,New Delhi,YourNest Angel Fund Rajul Garg,Seed Funding,0.00,
1796,20/04/2016,Broomberg,Consumer Internet,New Delhi,0 Angel investors & HNIs,Seed Funding,0.00,
1797,21/04/2016,m.paani,Consumer Internet,Mumbai,Blume Ventures Adil Allana Aprameya Radhakrishna Gautam Ivatury Signal Point Partners,Seed Funding,0.00,
1798,21/04/2016,Yufta,eCommerce,Jaipur,Ajay Data & 0 HNIs,Seed Funding,0.00,
1799,21/04/2016,mishTag,Consumer Internet,New Delhi,M&Y Partners SVG Media Anthil Ventures & others,Seed Funding,0.00,
1800,21/04/2016,Advanced Structures India,Auto,Bengaluru,GirnarSoft,Private Equity,0.00,
1801,22/04/2016,Licious,eCommerce,Bengaluru,Mayfield India II Management Ltd,Private Equity,3000000.00,nan
1802,22/04/2016,Knolskae,Consumer Internet,Bengaluru,Inventus Capital Partners HR Fund,Private Equity,0.00,
1803,22/04/2016,Druva,Technology,Pune,NTT Fice Telephone Corporation,Private Equity,0.00,
1804,22/04/2016,TOKO Innovation Studios,Consumer Internet,New Delhi,Indian Angel network,Seed Funding,450000.00,nan
1805,25/04/2016,Commut,Consumer Internet,Hyderabad,50K Ventures,Seed Funding,200000.00,nan
1806,25/04/2016,intouchapp,Consumer Internet,Pune,Blume Ventures,Seed Funding,0.00,
1807,25/04/2016,Dropkaffe,Food & Beverage,Bengaluru,GrowthStory Apurva Salapuria Hitesh Oberoi Sidharth Pansari Nirupa Shankar,Seed Funding,550000.00,nan
1808,26/04/2016,Transerv,Consumer Internet,Mumbai,IDFC SPICE Fund Micromax Informatics,Private Equity,15000000.00,nan
1809,26/04/2016,ClearTax,Consumer Internet,Bengaluru,Max Levchin Scott Banister,Private Equity,1300000.00,nan
1810,26/04/2016,Roposo,eCommerce,Gurgaon,Bertelsmann India Investments,Private Equity,15000000.00,nan
1811,27/04/2016,MilkBasket,Consumer Internet,Gurgaon,EVC Ventures,Seed Funding,500000.00,nan
1813,27/04/2016,RailYatri,Consumer Internet,Noida,dan Nilekani Helion Ventures Omidyar Networks Blume Ventures,Private Equity,0.00,
1814,27/04/2016,ICHR,Consumer Internet,New Delhi,0,Seed Funding,450000.00,nan
1815,27/04/2016,Murgency,Consumer Internet,Mumbai,Axilor Ventures,Private Equity,0.00,
1816,28/04/2016,The Wedding Brigade,Consumer Internet,Mumbai,Blume Ventures & Other unnamed Investors,Seed Funding,600000.00,nan
1817,28/04/2016,DocsApp,Consumer Internet,Bengaluru,Rebright Partners Anand Rajaraman Venky Harinarayan,Private Equity,1200000.00,nan
1818,29/04/2016,Impact Guru,Consumer Internet,Mumbai,RB Investments Fundnel,Seed Funding,500000.00,nan
1819,29/04/2016,LetReach,eCommerce,New Delhi,vCommission,Private Equity,100000.00,nan
1820,1/3/2016,DriveU,Consumer Internet,Bengaluru,Unitus Seed Fund,Seed Funding,0.00,
1821,1/3/2016,Gympik,Consumer Internet,Bengaluru,RoundGlass Partners,Private Equity,0.00,
1822,1/3/2016,Testbook,Consumer Internet,Mumbai,S Chand & Co,Private Equity,0.00,
1823,1/3/2016,IQlect,Technology,Bengaluru,Lip-Bu Tan Michael Marks Nicolas Braithwaite,Private Equity,0.00,
1824,2/3/2016,MoMark,Consumer Internet,Noida,YourNest Angel Fund,Private Equity,600000.00,nan
1825,2/3/2016,Skedool,Consumer Internet,Bengaluru,Kludein LLC\\nPhanindra Sama Narayan Ramachandran Pranav Pai,Seed Funding,0.00,
1826,2/3/2016,Systemantics,Technology,Bengaluru,Nandan Nilekani Accel Partners,Private Equity,1400000.00,nan
1827,3/3/2016,Vertuals,Technology,Mumbai,Dino Morea,Seed Funding,0.00,
1828,3/3/2016,Imarticus Learning,Education,Mumbai,Blinc Advisors Amit Nanavati Tashwinder Singh Taranjit Jaswal Amit Khanna,Private Equity,1000000.00,nan
1829,3/3/2016,Shouut,Consumer Internet,New Delhi,0 investor,Seed Funding,500000.00,nan
1830,4/3/2016,TinyStep,Consumer Internet,Bengaluru,Matt Glickman,Private Equity,0.00,
1831,4/3/2016,Aahaa,ECommerce,Chennai,YourNest Angel Fund,Private Equity,1000000.00,nan
1832,4/3/2016,Arcatron Mobility,Technology,Pune,Sudhir Mehta Anoop Hingorani,Seed Funding,0.00,
1833,4/3/2016,FTCash,Consumer Internet,Kolkata,IvyCap Ventures,Seed Funding,150000.00,nan
1834,4/3/2016,Civilsdaily,Consumer Internet,New Delhi,Manoj Kumar & Other 0 investors,Seed Funding,0.00,
1835,4/3/2016,Zappka,Consumer Internet,Gurgaon,Daman Soni Rajat Gupta & Others,Seed Funding,100000.00,nan
1836,4/3/2016,Tarusa World,ECommerce,Mumbai,Mohit Gulati,Seed Funding,0.00,
1837,4/3/2016,medECUBE,Healthcare,Gurgaon,Artiman Ventures,Private Equity,4000000.00,nan
1838,7/3/2016,N.O.W,Consumer Internet,Noida,Ruchirans Jaipuria Anuj Sanghi,Seed Funding,500000.00,nan
1839,7/3/2016,Ninjacart,ECommerce,Bengaluru,Accel Partners Qualcomm Ventures M&S Partners Zop Smart,Private Equity,3000000.00,nan
