Sr No,Date (dd/mm/yyyy),Startup Name,Industry Vertical,City  Location,Investors Name,Investment Type,  Amount in USD  ,Remarks
1102,25/01/2017,LoyaltyPrime,Technology,New Delhi,Senovo Unternehmertum Venture Capital Alexander Bruehl,Private Equity,0.00,
1103,25/01/2017,InstaSafe,Technology,Bengaluru,ABM Knowledgeware,Private Equity,2200000.00,nan
1104,25/01/2017,Infibeam,eCommerce,Ahmadabad,Bennett Coleman and Company Ltd,Private Equity,8800000.00,nan
1105,2/1/2017,99Games,Technology,Udupi,Dream Incubator,Seed Funding,0.00,
1106,26/01/2017,AirMed Labs,Consumer Internet,Ahmadabad,Brand Capital,Private Equity,1400000.00,nan
1107,26/01/2017,99PerHour,Consumer Internet,Chennai,V Aanand R,Seed Funding,300000.00,nan
1108,26/01/2017,Kochi Post,Consumer Internet,Cochin,Rajesh Yohan Puthen & Cole,Seed Funding,0.00,
1109,30/01/2017,Intuit Things,Technology,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,106000.00,nan
1110,30/01/2017,Cloudrino,Technology,New Delhi,The Ten Minute Million,Seed Funding,22500.00,nan
1111,30/01/2017,FabX,eCommerce,Mumbai,The Ten Minute Million,Seed Funding,68000.00,nan
1112,30/01/2017,Maptags,Consumer Internet,Bengaluru,The Ten Minute Million,Seed Funding,18000.00,nan
1113,30/01/2017,YOLO Health,Consumer Internet,Mumbai,Chandigarh Angels Network (CAN),Seed Funding,0.00,
1114,31/01/2017,Heads Up For Tails,eCommerce,New Delhi,0 Investors,Private Equity,2000000.00,nan
1115,31/01/2017,Register My Marriage,Consumer Internet,New Delhi,Mumbai Angels,Seed Funding,0.00,
1116,1/12/2016,SidQam,Technology,Noida,SQue Capital Grace Capital Ventures Soham Vencaps,Private Equity,1200000.00,nan
1117,1/12/2016,India Lends,Consumer Internet,New Delhi,DSG Consumer Partners American Express Ventures Cyber Carrier VC AdvantEdge Partners,Private Equity,4000000.00,nan
1118,1/12/2016,Slide App,Consumer Internet,New Delhi,Songhyun Investment,Private Equity,3600000.00,nan
1119,2/12/2016,Badiyajobs,Consumer Internet,New Delhi,0,Seed Funding,100000.00,nan
1120,2/12/2016,Streo,Consumer Internet,Bengaluru,GEMs Advisory Quarizon,Seed Funding,0.00,
1121,2/12/2016,TYGR,Technology,Mumbai,Franchise India,Private Equity,3000000.00,nan
1122,5/12/2016,Mr Hot Foods,Consumer Internet,Indore,IvyCamp Ventures,Seed Funding,0.00,
1123,5/12/2016,UrDoorStep,eCommerce,Bengaluru,Lakshmi Vilas Bank & 0 HNIs,Private Equity,1400000.00,nan
1124,5/12/2016,ONN Bikes,eCommerce,Mumbai,Grace Capital Ventures,Seed Funding,0.00,
1125,6/12/2016,Diro Labs,Consumer Internet,New Delhi,Info Edge (India),Seed Funding,147000.00,nan
1126,6/12/2016,THB,Technology,Gurgaon,Ajith Sukumaran Currae Healthtech Fund,Seed Funding,0.00,
1128,7/12/2016,Netree,eCommerce,New Delhi,The Chennai Angels LetsVenture,Seed Funding,0.00,
1129,7/12/2016,BookEventz,Consumer Internet,Mumbai,Investors from Mumbai Angels & LetsVenture,Seed Funding,0.00,
1130,7/12/2016,Tailslife,Consumer Internet,Bengaluru,Mohan Kumar V. Balakrish,Seed Funding,0.00,
1131,7/12/2016,Revv,Consumer Internet,New Delhi,Edelweiss Private Equity,Private Equity,9000000.00,nan
1132,7/12/2016,WealthApp,Consumer Internet,Bengaluru,Venk Krishnan MJ Aravind Vikram Kotak Jayant Davar Ramkumar Nishtal Arjun Sharmaa,Seed Funding,440000.00,nan
1133,7/12/2016,Vehico,Technology,Bengaluru,Calcutta Angel Network Appliyifi,Seed Funding,0.00,
1134,8/12/2016,Zest Money,Consumer Internet,Mumbai,PayU,Private Equity,6500000.00,nan
1135,8/12/2016,GoMechanic,Consumer Internet,Gurgaon,Venture Catalysts,Seed Funding,250000.00,nan
1136,9/12/2016,Stalk Buy Love,eCommerce,New Delhi,Kalaari Capital,Private Equity,6000000.00,nan
1137,9/12/2016,Nykaa,eCommerce,Mumbai,Max Ventures and Industries,Private Equity,0.00,
1138,9/12/2016,Wittyparot,Technology,Bengaluru,Mumbai Angels,Seed Funding,450000.00,nan
